Name,Message,Message type,VI SDK Server,VI SDK UUID
ecbrprg1,"On / is 3% disk space available! The threshold value is 10%. Free MB = 3,828",Storage,172.20.1.174,172.20.1.174
ecbrprg1,Inconsistent Foldername! VMname = ecbrprg1 Foldername = ecbrprgr1,Foldername,172.20.1.174,172.20.1.174
ecbrprgmi,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprh01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprh02,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprh03,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprhmb01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprkc01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprkc02,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprkf01,Inconsistent Foldername! VMname = ecbrprkf01 Foldername = ecbrprkf01_1,Foldername,172.20.1.174,172.20.1.174
ecbrprkf01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprkw01,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprkw01,Inconsistent Foldername! VMname = ecbrprkw01 Foldername = ecbrprkw01_1,Foldername,172.20.1.174,172.20.1.174
ecbrprlx02,Inconsistent Foldername! VMname = ecbrprlx02 Foldername = zabbixproxy_2,Foldername,172.20.1.174,172.20.1.174
ecbrprlx04,Inconsistent Foldername! VMname = ecbrprlx04 Foldername = LUMU_DCP,Foldername,172.20.1.174,172.20.1.174
ecbrprlx04,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprlx08,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprlx12,Consolidation needed,Snapshot,172.20.1.174,172.20.1.174
ecbrprlx14,Inconsistent Foldername! VMname = ecbrprlx14 Foldername = Nueva máquina virtual,Foldername,172.20.1.174,172.20.1.174
ecbrprlx17,Inconsistent Foldername! VMname = ecbrprlx17 Foldername = ecbrprlx17_new,Foldername,172.20.1.174,172.20.1.174
ecbrprlxcc,VM has an active snapshot! LMRV_INI created on 2025/06/20 15:50:59,Snapshot,172.20.1.174,172.20.1.174
ecbrprnbk03,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
ecbrprpocq03,"VMware tools are out of date, not running or not installed!",VM Tools,172.20.1.174,172.20.1.174
