Hierarchy,,Information,,Observed Storage,,Performance,,
Group Name,Asset,Server Name,Disk,Observed Disk Capacity (GB),Observed Disk Occupancy (GB),Observed Throughput (MBps),Peak IOPS,ID (server name + uid)
Physical Infrastructure,Default,ecbrprbi01,D:,1099.5,2.3,0,0,v_MI8qRg0M.D:
Physical Infrastructure,Default,ECBRPRCL14,H:,160.9,5.1,7.6,131,v_NcSxSEdL.H:
Physical Infrastructure,Default,ECBRPRCL14,N:,107.2,17.3,79.9,322,v_NcSxSEdL.N:
Physical Infrastructure,Default,ECBRPRCL14,C:,160.5,112.3,46.8,821,v_NcSxSEdL.C:
Physical Infrastructure,Default,ECBRPRCL14,D:,53.6,19.7,0,0,v_NcSxSEdL.D:
Physical Infrastructure,Default,ECBRPRCL14,F:,107.2,15.3,280.5,1188,v_NcSxSEdL.F:
Physical Infrastructure,Default,ECBRPRCL14,P:,536.9,177.2,229.6,1268,v_NcSxSEdL.P:
Physical Infrastructure,Default,ECBRPRCL14,R:,160.9,68.6,134.3,1841,v_NcSxSEdL.R:
Physical Infrastructure,Default,ECBRPRCL14,S:,214.6,54.2,63.6,255,v_NcSxSEdL.S:
Physical Infrastructure,Default,ECBRPRCL14,T:,644.1,269.2,741,4153,v_NcSxSEdL.T:
Physical Infrastructure,Default,ECBRPRCL14,U:,322,81.8,380.9,1610,v_NcSxSEdL.U:
Physical Infrastructure,Default,ECBRPRCL14,V:,107.2,40,130.9,551,v_NcSxSEdL.V:
Physical Infrastructure,Default,ECBRPRCL14,W:,858.9,496.4,301.3,1266,v_NcSxSEdL.W:
Physical Infrastructure,Default,ECBRPRCL14,X:,322,197.3,287.6,1218,v_NcSxSEdL.X:
Physical Infrastructure,Default,ECBRPRCL14,Y:,1099.4,140.9,93.7,382,v_NcSxSEdL.Y:
Physical Infrastructure,Default,ECBRPRCL14,Z:,536.9,165.3,112.4,473,v_NcSxSEdL.Z:
Physical Infrastructure,Default,ecbrprw72,C:,85.3,38.9,6.8,414,v_Nq4TxHGi.C:
Physical Infrastructure,Default,ecbrprw72,D:,107.4,3.8,0,0,v_Nq4TxHGi.D:
Physical Infrastructure,Default,ECBRPRW27,C:,235.7,113.1,116.6,1371,v_NtooIVBM.C:
Physical Infrastructure,Default,ECBRPRW27,D:,161.1,18.7,0,0,v_NtooIVBM.D:
Physical Infrastructure,Default,ecbrprcl10,C:,106.8,75.5,36.6,705,v_OhdHSgPq.C:
Physical Infrastructure,Default,ecbrprcl10,D:,42.9,24.5,0,0,v_OhdHSgPq.D:
Physical Infrastructure,Default,ecbrprcl10,T:,214.7,1.7,2.8,85,v_OhdHSgPq.T:
Physical Infrastructure,Default,ecbrprcl10,M:,85.9,3.8,1,10,v_OhdHSgPq.M:
Physical Infrastructure,Default,ecbrprcl10,N:,85.9,10.9,0.8,67,v_OhdHSgPq.N:
Physical Infrastructure,Default,ecbrprcl10,O:,107.4,15,42.1,784,v_OhdHSgPq.O:
Physical Infrastructure,Default,ecbrprcl10,P:,107.4,21.9,44.4,901,v_OhdHSgPq.P:
Physical Infrastructure,Default,ecbrprcl10,R:,107.4,10.9,44.4,659,v_OhdHSgPq.R:
Physical Infrastructure,Default,ecbrprcl10,S:,214.7,77.7,162,931,v_OhdHSgPq.S:
Physical Infrastructure,Default,ecbrprcl10,U:,214.7,87.6,147.3,884,v_OhdHSgPq.U:
Physical Infrastructure,Default,ecbrprcl10,V:,214.7,122.9,685.5,5197,v_OhdHSgPq.V:
Physical Infrastructure,Default,ecbrprcl10,W:,214.7,94.7,214.1,1025,v_OhdHSgPq.W:
Physical Infrastructure,Default,ecbrprcl10,X:,107.4,23.2,171,851,v_OhdHSgPq.X:
Physical Infrastructure,Default,ECBRPRW39,D:,42.9,4.1,0,0,v_Om3QewoD.D:
Physical Infrastructure,Default,ECBRPRW39,C:,85.3,41.2,5.6,420,v_Om3QewoD.C:
Physical Infrastructure,Default,ECBRPRW39,L:,21.5,13.4,0.2,13,v_Om3QewoD.L:
Physical Infrastructure,Default,ecbrprcl6,C:,160.5,60.8,61,909,v_OneYdu4G.C:
Physical Infrastructure,Default,ecbrprcl6,D:,53.7,24.9,0,0,v_OneYdu4G.D:
