VM,Powerstate,Template,SRM Placeholder,# CPU,Sockets,# Cores,Max,Overall,Level,Shares,Reservation,Entitlement,DRS Entitlement,Limit,Hot Add,Hot Remove,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VMs,VI SDK Server,VI SDK UUID
ecbrprq49,poweredOn,False,False,4,2,2,10376,1115,normal,4000,0,1212,959,-1,True,False,,"Sun Jul  6 12:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-2784,423e225c-7994-2714-1c58-b8e25d1517d8,,172.20.1.174,172.20.1.174
ecbrprq50,poweredOn,False,False,8,2,4,23944,688,normal,8000,0,2413,688,-1,True,False,,"Sun Jul  6 17:00:10 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Std_noCL",DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-1605,423e80dd-bd36-45e5-e57d-dc99b60d7706,,172.20.1.174,172.20.1.174
ecbrprq52,poweredOn,False,False,2,2,1,6984,1920,normal,2000,0,631,2130,-1,True,False,,"Sun Jul  6 12:00:20 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx14.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-3039,423ec830-8a05-8553-ea79-8508c157e9b1,,172.20.1.174,172.20.1.174
ecbrprq55,poweredOn,False,False,4,2,2,11972,568,normal,4000,0,1212,598,-1,True,False,,"Sun Jul  6 12:00:20 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-4202,422ee386-7506-8060-a120-da421dd8b299,,172.20.1.174,172.20.1.174
ecbrprq58,poweredOn,False,False,12,2,6,32328,754,normal,12000,0,3614,754,-1,True,False,,"Sun Jul  6 12:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx19.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-5387,422e9cf0-b607-0010-21e1-9399a2f5ec5e,,172.20.1.174,172.20.1.174
ecbrprq59,poweredOn,False,False,8,8,1,23944,1825,normal,8000,0,2409,1915,-1,True,False,,"Sun Jul  6 17:00:13 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Std_noCL",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-5714,422e528b-8e3f-5687-6e15-66d45ec796a1,,172.20.1.174,172.20.1.174
ecbrprq62,poweredOn,False,False,2,1,2,5188,466,normal,2000,0,631,440,-1,True,False,,"Sun Jul  6 12:00:19 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-10167,4c43efd1-098b-45a8-8745-55e78037bfff,,172.20.1.174,172.20.1.174
ecbrprq64,poweredOn,False,False,16,16,1,55872,733,normal,16000,0,4818,768,-1,True,False,,"Sun Jul  6 12:00:19 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx14.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-7500,422e6639-3aa6-32e6-3707-b7f5ddf7c234,,172.20.1.174,172.20.1.174
ecbrprq68,poweredOn,False,False,4,2,2,10376,804,normal,4000,0,1212,752,-1,True,False,,,DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-45200,422e0e64-5689-0051-57b9-19bdd12af5ec,,172.20.1.174,172.20.1.174
ecbrprq69,poweredOn,False,False,12,6,2,41904,873,normal,12000,0,3614,942,-1,False,False,,,DCP,Cluster_Quito,ecbrprsx14.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-33763,422ed1dc-833d-6102-deef-006668a6ffad,,172.20.1.174,172.20.1.174
